Place FIPS,"Unincorporated, Non-Place FIPS",Geography Name,County FIPS,County Name
3717520.00,,Dortches town,127,Nash
3717660.00,,Dover town,49,Craven
3717860.00,,Drexel town,23,Burke
3718040.00,,Dublin town,17,Bladen
3718060.00,,Duck town,55,Dare
3718080.00,,Dudley CDP,191,Wayne
3718300.00,,Dundarrach CDP,93,Hoke
3718320.00,,Dunn city,85,Harnett
3719000.00,,Durham city,63,Durham
3719140.00,,Earl town,45,Cleveland
3719300.00,,East Arcadia town,17,Bladen
3719320.00,,East Bend town,197,Yadkin
3719420.00,,East Flat Rock CDP,89,Henderson
3719620.00,,East Laurinburg town,165,Scotland
3719740.00,,Eastover town,51,Cumberland
3719800.00,,East Rockingham CDP,153,Richmond
3719860.00,,East Spencer town,159,Rowan
3720080.00,,Eden city,157,Rockingham
3720120.00,,Edenton town,41,Chowan
3720280.00,,Edneyville CDP,89,Henderson
3720420.00,,Efland CDP,135,Orange
3720580.00,,Elizabeth City city,139,Pasquotank
3720600.00,,Elizabethtown town,17,Bladen
3720620.00,,Elkin town,"171, 193","Surry, Wilkes"
3720700.00,,Elk Park town,11,Avery
3720780.00,,Ellenboro town,161,Rutherford
3720840.00,,Ellerbe town,153,Richmond
3720980.00,,Elm City town,195,Wilson
3721095.00,,Elon town,1,Alamance
3721120.00,,Elrod CDP,155,Robeson
3721130.00,,Elroy CDP,191,Wayne
3721160.00,,Emerald Isle town,31,Carteret
3721260.00,,Emma CDP,21,Buncombe
3721360.00,,Enfield town,83,Halifax
3721380.00,,Engelhard CDP,95,Hyde
3721500.00,,Enochville CDP,159,Rowan
3721740.00,,Erwin town,85,Harnett
3721880.00,,Etowah CDP,89,Henderson
3721960.00,,Eureka town,191,Wayne
3722040.00,,Everetts town,117,Martin
3722080.00,,Evergreen CDP,47,Columbus
3722240.00,,Fair Bluff town,47,Columbus
3722280.00,,Fairfield CDP,95,Hyde
3722305.00,,Fairfield Harbour CDP,49,Craven
3722360.00,,Fairmont town,155,Robeson
3722380.00,,Fairplains CDP,193,Wilkes
3722440.00,,Fairview CDP,21,Buncombe
3722500.00,,Fairview town,179,Union
3722560.00,,Faison town,61,Duplin
3722600.00,,Faith town,159,Rowan
3722620.00,,Falcon town,"51, 163","Cumberland, Sampson"
3722640.00,,Falkland town,147,Pitt
3722720.00,,Fallston town,45,Cleveland
3722800.00,,Farmington CDP,59,Davie
3722820.00,,Farmville town,147,Pitt
3722920.00,,Fayetteville city,51,Cumberland
3722982.00,,Fearrington Village CDP,37,Chatham
3723520.00,,Five Points CDP,93,Hoke
3723600.00,,Flat Rock village,89,Henderson
3723640.00,,Flat Rock CDP,89,Henderson
3723760.00,,Fletcher town,89,Henderson
3723980.00,,Fontana Dam town,75,Graham
3724080.00,,Forest City town,161,Rutherford
3724170.00,,Forest Hills village,99,Jackson
3724198.00,,Forest Oaks CDP,81,Guilford
3724380.00,,Foscoe CDP,189,Watauga
